TAIR Accession,Locus,Gene Type,Description,Other Name(Type),manual_classification,Keywords
Locus:2033314,AT1G66870,protein_coding,Encodes a carbohydrate-binding X8-domain superfamily protein.,N/A,CX8,"priming of cellular response to stress;extracellular region;molecular_function,"
Locus:2043979,AT2G43670,protein_coding,Carbohydrate-binding X8 domain superfamily protein;(source:Araport11),N/A,CX8,"extracellular region;molecular_function;flowering stage;flower pedicel;hypocotyl;root;shoot apex,"
Locus:2027428,AT1G18650,protein_coding,Encodes a member of the X8-GPI family of proteins. It localizes to the plasmodesmata and is predicted to bind callose.,PDCB3;plasmodesmata callose-binding protein 3,CX8,"extracellular region;membrane;plasma membrane;plasmodesma;(1->3)-beta-D-glucan binding;polysaccharide binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina;leaf lamina base;leaf vascular system;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2085410,AT3G58100,protein_coding,Encodes a member of the X8-GPI family of proteins. It localizes to the plasmodesmata and is predicted to bind callose.,PDCB5;PLASMODESMATA CALLOSE-BINDING PROTEIN 5,CX8,"membrane;plasma membrane;plasmodesma;(1->3)-beta-D-glucan binding;polysaccharide binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;seedling development stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant egg cell;plant embryo;plant sperm cell;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2045537,AT2G31980,protein_coding,Cystatins are inhibitors of cysteine proteinases.,AtCYS2;CYS2;PHYTOCYSTATIN 2,CYS,"biological_process;cellular_component;extracellular region;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;stamen;vascular leaf,"
Locus:2130709,AT4G16500,protein_coding,Cystatin; cystatins are involved in plant immunity.,ATCYS4;CYS4;PHYTOCYSTATIN 4,CYS,"cytosol;extracellular region;plant-type cell wall;plant-type vacuole;plasmodesma;secretory vesicle;vacuole;molecular_function;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant callus;plant embryo;pollen;pollen tube cell;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2058515,AT2G40880,protein_coding,"Encodes a protein with cysteine proteinase inhibitor activity. Overexpression increases tolerance to abiotic stressors (i.e.salt;osmotic, cold stress). The mRNA is cell-to-cell mobile.",ATCYSA;CYSA;CYSTATIN A;FL3-27;cystatin A,CYS,"hyperosmotic response;response to cold;response to oxidative stress;response to water deprivation;extracellular region;cysteine-type endopeptidase inhibitor activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;cell-to-cell mobile RNA,"
Locus:2168973,AT5G47550,protein_coding,Putative phytocystatin expressed in seedlings and induced by heat stress and abscisic acid. Overexpression increases germination rate and heat stress tolerance. CYS5 is a target of ABF1 and ABF3 transcriptional regulators which bind to its promoter.,CYS5;CYSTEINE PROTEINASE INHIBITOR 5,CYS,"cellular response to heat;positive regulation of seed germination;extracellular region;plant-type cell wall;molecular_function;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;non-hair root epidermal cell;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;seedling cotyledon;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2176521,AT5G43510,protein_coding,Encodes a cysteine-rich peptide that acts as a pollen tube attractant guiding pollen tubes to the ovular micropyle.  It is expressed in the synergid cell and appears to be secreted toward the funicular surface through the micropyle.,ATLURE1.2;CRP810_1.2;LURE 1.2;LURE1.2,DEFL,"pollen tube guidance;pollen tube guidance;extracellular region;protein binding;carpel;synergid,"
Locus:1009023401,AT5G43518,protein_coding,Encodes a cysteine-rich peptide that acts as a pollen tube attractant guiding pollen tubes to the ovular micropyle.  It is expressed in the synergid cell and appears to be secreted toward the funicular surface through the micropyle.,ATLURE1.4;CRP810_1.4;LURE 1.4;LURE1.4,DEFL,"pollen tube guidance;extracellular region;protein binding;carpel;synergid,"
Locus:2128469,AT4G23690,protein_coding,Encodes a homodimeric all-beta dirigent protein in the superfamily of calycins.  Dirigent proteins impart stereoselectivity on the phenoxy radical coupling reaction yielding optically active lignans from two molecules of coniferyl alcohol.,ARABIDOPSIS THALIANA DIRIGENT PROTEIN 6;ATDIR6;DIR6;DIRIGENT PROTEIN 6,DIR,"(-)-pinoresinol biosynthetic process;(-)-pinoresinol metabolic process;extracellular region;guiding stereospecific synthesis activity;identical protein binding;protein homodimerization activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;vascular leaf,"
Locus:2136118,AT4G11180,protein_coding,Seed coat specific expressed protein. Together with LAC5 involved in neolignan biosynthesis via  sinapoylcholine/feruloylcholine and is essential for the biosynthesis of 8-O-4&#8242;-type neolignans in seeds.,ATDIR12;DIR12;DIRIGENT PROTEIN 1;DIRIGENT PROTEIN 12;DP1,DIR,"lignan biosynthetic process;extracellular region;molecular_function;developing seed stage;seed coat,"
Locus:505006681,AT5G48485,protein_coding,Encodes a putative apoplastic lipid transfer protein that is involved in systemic acquired resistance. Mutants in this gene exhibit wild-type local resistance to avirulent and virulent Pseudomonas syringae; but pathogenesis-related gene expression is abolished in uninoculated distant leaves and fail to develop SAR to virulent Pseudomonas or Peronospora parasitica. DIR1 protein is cell-to-cell mobile and is transported via phloem sap.,DEFECTIVE IN INDUCED RESISTANCE 1;DIR1,DIR,"systemic acquired resistance;systemic acquired resistance, salicylic acid mediated signaling pathway;endoplasmic reticulum;extracellular region;plasmodesma;secretory vesicle;fatty acid binding;lipid transporter activity;protein binding;zinc ion binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;phloem sap;cell-to-cell mobile protein,"
Locus:2166014,AT5G48490,protein_coding,Encodes a protein with similarity to a lipid transfer protein that may contribute to systemic acquired resistance (SAR).,DEG15;DIR1-LIKE,DIR,"systemic acquired resistance;extracellular region;secretory vesicle;fatty acid binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2162366,AT5G42510,protein_coding,Member of the dirigent protein family. Dirigent proteins function in stereoselective radical-radical coupling in lignan biosynthesis and other phenylpropanoid components.,DIR1;DIRIGENT PROTEIN 1,DIR,"biological_process;extracellular region;molecular_function,"
Locus:2121249,AT4G38700,protein_coding,Member of the dirigent protein family. Dirigent proteins function in stereoselective radical?radical coupling in lignan biosynthesis and other phenylpropanoid components.,DIR15;DIRIGENT PROTEIN 15,DIR,"extracellular region;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo cotyledonary stage;plant embryo globular stage;carpel;collective leaf structure;cotyledon;embryo sac central cell;flower;guard cell;leaf apex;leaf lamina base;plant embryo;pollen;seed;sepal;stamen;stem;vascular leaf,"
Locus:2196282,AT1G58170,protein_coding,Disease resistance-responsive (dirigent-like protein) family protein;(source:Araport11),DIR19;DIRIGENT PROTEIN 16,DIR,"chloroplast;molecular_function;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;petal;plant embryo;plant sperm cell;root;seed;sepal;shoot apex;shoot system;vascular leaf,"
Locus:2035661,AT1G55210,protein_coding,Disease resistance-responsive (dirigent-like protein) family protein;(source:Araport11),DIR20;DIRIGENT PROTEIN 20,DIR,"extracellular region;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2047002,AT2G21100,protein_coding,Disease resistance-responsive (dirigent-like protein) family protein;(source:Araport11),DIR23;DIRIGENT PROTEIN 23,DIR,"cellular_component;molecular_function;petal differentiation and expansion stage;flower;hypocotyl;root,"
Locus:2154359,AT5G49040,protein_coding,Member of the dirigent protein family. Dirigent proteins function in stereoselective radical-radical coupling in lignan biosynthesis and other phenylpropanoid components.,DIR3;DIRIGENT PROTEIN 3,DIR,"biological_process;chloroplast;molecular_function,"
Locus:2091521,AT3G13650,protein_coding,Member of the dirigent protein family. Dirigent proteins function in stereoselective radical-radical coupling in lignan biosynthesis and other phenylpropanoid components.,DIR7;DIRIGENT PROTEIN 7,DIR,"extracellular region;molecular_function;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;flower;flower pedicel;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;vascular leaf;cell-to-cell mobile RNA,"
Locus:2050901,AT2G45180,protein_coding,nsLTP family-related gene. Expression is strongly suppressed by bacterial pathogens. Mutants are more susceptible to pathogens and abiotic stressors suggesting a function in basal stress response.,DRN1;Disease Related Nonspecific Lipid Transfer Protein 1,DRN,"innate immune response activating cell surface receptor signaling pathway;response to salt stress;chloroplast thylakoid membrane;extracellular region;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2052556,AT2G21750,protein_coding,Encodes a small cysteine-rich protein that is secreted by the egg cell during gamete interactions. The regulated secretion of EC1 by the egg cell upon sperm-egg interaction is proposed to ensure the appropriate localization of the cell-fusion machinery in distinct sperm membrane domains to accomplish gamete fusion.,EC1.3;EGG CELL 1.3,ECA,"double fertilization forming a zygote and endosperm;regulation of double fertilization forming a zygote and endosperm;regulation of protein localization to cell surface;extracellular region;vesicle;molecular_function;plant egg cell,"
Locus:2136293,AT4G39340,protein_coding,Encodes a small cysteine-rich protein that is secreted by the egg cell during gamete interactions. The regulated secretion of EC1 by the egg cell upon sperm-egg interaction is proposed to ensure the appropriate localization of the cell-fusion machinery in distinct sperm membrane domains to accomplish gamete fusion.,EC1.4;EGG CELL 1.4,ECA,"double fertilization forming a zygote and endosperm;double fertilization forming a zygote and endosperm;regulation of double fertilization forming a zygote and endosperm;regulation of protein localization to cell surface;extracellular region;vesicle;extracellular region;vesicle;molecular_function;guard cell,"
Locus:4010713957,AT5G14995,protein_coding,Encodes a ECA1 gametogenesis related family protein,N/A,ECA,"double fertilization forming a zygote and endosperm;regulation of double fertilization forming a zygote and endosperm;regulation of protein localization to cell surface;extracellular region;vesicle;extracellular region;molecular_function,"
Locus:504954855,AT5G51105,protein_coding,ECA1 gametogenesis family protein (DUF1278);(source:Araport11),N/A,ECA,"double fertilization forming a zygote and endosperm;regulation of double fertilization forming a zygote and endosperm;regulation of protein localization to cell surface;extracellular region;vesicle;molecular_function,"
Locus:504954846,AT5G52965,protein_coding,egg cell-secreted-like protein (DUF1278);(source:Araport11),N/A,ECA,"double fertilization forming a zygote and endosperm;regulation of double fertilization forming a zygote and endosperm;regulation of protein localization to cell surface;extracellular region;vesicle;extracellular region;molecular_function,"
Locus:1009023271,AT3G01323,protein_coding,ECA1-like gametogenesis related family protein;(source:Araport11),N/A,ECA,"biological_process;cellular_component;molecular_function,"
Locus:4010713718,AT3G01322,protein_coding,Encodes a ECA1 gametogenesis related family protein,N/A,ECA,"biological_process;cellular_component;molecular_function,"
Locus:4010713719,AT3G01324,protein_coding,Encodes a ECA1 gametogenesis related family protein,N/A,ECA,"biological_process;mitochondrion;molecular_function,"
Locus:4010713720,AT3G01326,protein_coding,Encodes a ECA1 gametogenesis related family protein,N/A,ECA,"biological_process;cellular_component;molecular_function,"
Locus:4010713721,AT3G01327,protein_coding,Encodes a ECA1 gametogenesis related family protein,N/A,ECA,"biological_process;mitochondrion;molecular_function,"
Locus:4010713784,AT3G27425,protein_coding,Encodes a ECA1 gametogenesis related family protein,N/A,ECA,"biological_process;mitochondrion;molecular_function,"
Locus:4010713723,AT3G01329,protein_coding,Encodes a ECA1 gametogenesis related family protein,N/A,ECA,"biological_process;extracellular region;molecular_function,"
Locus:4010713724,AT3G01331,protein_coding,Encodes a ECA1 gametogenesis related family protein,N/A,ECA,"biological_process;cellular_component;molecular_function,"
Locus:4010713647,AT2G22155,protein_coding,Encodes a ECA1 gametogenesis related family protein,N/A,ECA,"double fertilization forming a zygote and endosperm;regulation of double fertilization forming a zygote and endosperm;regulation of protein localization to cell surface;extracellular region;vesicle;extracellular region;molecular_function,"
Locus:4010713722,AT3G01328,protein_coding,Encodes a ECA1 gametogenesis related family protein,N/A,ECA,"biological_process;cellular_component;molecular_function,"
Locus:4010713811,AT3G45248,protein_coding,Encodes a ECA1 gametogenesis related family protein,N/A,ECA,"double fertilization forming a zygote and endosperm;regulation of double fertilization forming a zygote and endosperm;regulation of protein localization to cell surface;extracellular region;vesicle;mitochondrion;molecular_function,"
Locus:4010713809,AT3G45243,protein_coding,Encodes a ECA1 gametogenesis related family protein,N/A,ECA,"biological_process;mitochondrion;molecular_function,"
Locus:4010713812,AT3G45252,protein_coding,Encodes a ECA1 gametogenesis related family protein,N/A,ECA,"double fertilization forming a zygote and endosperm;regulation of double fertilization forming a zygote and endosperm;regulation of protein localization to cell surface;extracellular region;vesicle;mitochondrion;molecular_function,"
Locus:4010713810,AT3G45245,protein_coding,Encodes a ECA1 gametogenesis related family protein,N/A,ECA,"double fertilization forming a zygote and endosperm;regulation of double fertilization forming a zygote and endosperm;regulation of protein localization to cell surface;extracellular region;vesicle;chloroplast;molecular_function,"
Locus:2147815,AT5G15000,protein_coding,Encodes a ECA1 gametogenesis related family protein,N/A,ECA,"double fertilization forming a zygote and endosperm;regulation of double fertilization forming a zygote and endosperm;regulation of protein localization to cell surface;extracellular region;vesicle;extracellular region;molecular_function,"
Locus:2008880,AT1G12090,protein_coding,extensin-like protein (ELP),ELP;EXTENSIN-LIKE PROTEIN,EXT,"cellular_component;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2028341,AT1G32280,protein_coding,Encodes a homolog of the barley endosperm-specific gene END1 with seed and pollen specific expression.,ATEND1;END1;END1-LIKE 1,END,"biological_process;extracellular region;molecular_function;endosperm development stage;plant embryo globular stage;embryo sac;pollen;seed,"
Locus:2161108,AT5G56480,protein_coding,Non specific lipid transfer protein; with embryo sac specific expression.,ATEND2;END1-LIKE 2;END2,LTP,"lipid metabolic process;cellular_component;lipid binding;embryo sac central cell,"
Locus:2179240,AT5G25090,protein_coding,early nodulin-like protein 13;(source:Araport11),AtENODL13;ENODL13;early nodulin-like protein 13,ENODL,"plasma membrane;membrane;plasma membrane;plasmodesma;plastid;electron transfer activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;cauline leaf;collective leaf structure;cultured plant cell;flower;flower pedicel;guard cell;hypocotyl;leaf apex;leaf lamina base;petal;petiole;plant callus;plant embryo;root;rosette leaf;seed;sepal;shoot apex;shoot system;vascular leaf,"
Locus:2040164,AT2G25060,protein_coding,early nodulin-like protein 14;(source:Araport11),AtENODL14;ENODL14;early nodulin-like protein 14,ENODL,"plasma membrane;extracellular region;membrane;plasma membrane;plasmodesma;secretory vesicle;vacuole;electron transfer activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cultured plant cell;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant callus;plant embryo;root;rosette leaf;seed;sepal;shoot apex;shoot system;vascular leaf,"
Locus:2116767,AT4G31840,protein_coding,early nodulin-like protein 15;(source:Araport11),AtENODL15;ENODL15;early nodulin-like protein 15,ENODL,"plasma membrane;extracellular region;membrane;plasma membrane;secretory vesicle;electron transfer activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2102157,AT3G01070,protein_coding,early nodulin-like protein 16;(source:Araport11),AtENODL16;ENODL16;early nodulin-like protein 16,ENODL,"plasma membrane;extracellular region;membrane;electron transfer activity;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo globular stage;collective leaf structure;embryo sac central cell;flower;guard cell;hypocotyl;petal;plant embryo;root;seed;shoot apex,"
Locus:2150951,AT5G15350,protein_coding,early nodulin-like protein 17;(source:Araport11),AtENODL17;ENODL17;early nodulin-like protein 17,ENODL,"plasma membrane;membrane;plant-type vacuole;plasma membrane;plastid;electron transfer activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2135798,AT4G12880,protein_coding,early nodulin-like protein 19;(source:Araport11),AtENODL19;ENODL19;early nodulin-like protein 19,ENODL,"plasma membrane;apoplast;electron transfer activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2028396,AT1G48940,protein_coding,early nodulin-like protein 6;(source:Araport11),AtENODL6;ENODL6;early nodulin-like protein 6,ENODL,"biological_process;plasma membrane;membrane;electron transfer activity;petal differentiation and expansion stage;collective leaf structure;flower;sepal,"
Locus:2019414,AT1G64640,protein_coding,early nodulin-like protein 8;(source:Araport11),AtENODL8;ENODL8;early nodulin-like protein 8,ENODL,"plasma membrane;membrane;electron transfer activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;root;seed;sepal;shoot apex;shoot system;vascular leaf,"
Locus:4010713428,AT1G10745,protein_coding,Encodes a Maternally expressed gene (MEG) family protein,EMBRYO SURROUNDING FACTORS 1.2;ESF1.2,ESF,"embryonic axis specification;suspensor development;extracellular region;molecular_function,"
Locus:4010713427,AT1G10717,protein_coding,Encodes a Maternally expressed gene (MEG) family protein,EMBRYO SURROUNDING FACTORS 1.3;ESF1.3,ESF,"embryonic axis specification;suspensor development;cellular_component;molecular_function,"
Locus:4515102981,AT2G41475,protein_coding,Embryo-specific protein 3; (ATS3);(source:Araport11),ATS3A;Embryo-specific protein 3A,ESP,"extracellular region;plasmodesma;protein binding;cauline leaf;flower;guard cell;rosette leaf;stem,"
Locus:2167908,AT5G62200,protein_coding,Embryo-specific protein 3; (ATS3);(source:Araport11),ATS3B;EMBRYO-SPECIFIC PROTEIN 3B,ESP,"biological_process;membrane;plant-type vacuole;plastid;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
