Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	TAIR
Q9SGW3	reviewed	PSD8A_ARATH	26S proteasome non-ATPase regulatory subunit 8 homolog A (26S proteasome regulatory subunit RPN12a) (AtRPN12a) (26S proteasome regulatory subunit S14 homolog A)	RPN12A At1g64520 F1N19.9	Arabidopsis thaliana (Mouse-ear cress)	267	AT1G64520;
Q9SHE7	reviewed	RUB1_ARATH	Ubiquitin-NEDD8-like protein RUB1 [Cleaved into: Ubiquitin; NEDD8-like protein RUB1 (Ubiquitin-related protein 1) (AtRUB1)]	RUB1 NEDD8 UBQ15 At1g31340 T19E23.13	Arabidopsis thaliana (Mouse-ear cress)	156	AT1G31340;
Q9SHL8	reviewed	PILS5_ARATH	Protein PIN-LIKES 5 (Auxin efflux carrier-like protein 5)	PILS5 At2g17500 MJB20.6	Arabidopsis thaliana (Mouse-ear cress)	396	AT2G17500;
Q9SI19	reviewed	SRS4_ARATH	Protein SHI RELATED SEQUENCE 4	SRS4 At2g18120 F8D23.10	Arabidopsis thaliana (Mouse-ear cress)	222	AT2G18120;
Q9SIM9	reviewed	MAX2_ARATH	F-box protein MAX2 (F-box/LRR-repeat protein 7) (Protein KARRIKIN INSENSITIVE 1) (Protein MORE AXILLARY BRANCHING 2) (Protein ORESARA 9)	MAX2 FBL7 KAI1 ORE9 At2g42620 F14N22.11	Arabidopsis thaliana (Mouse-ear cress)	693	AT2G42620;
Q9SIN1	reviewed	TTL3_ARATH	Inactive TPR repeat-containing thioredoxin TTL3 (Tetratricopeptide repeat thioredoxin-like 3) (VH1-interacting TPR-containing protein)	TTL3 VIT At2g42580 F14N22.15	Arabidopsis thaliana (Mouse-ear cress)	691	AT2G42580;
Q9SKE2	reviewed	JAR1_ARATH	Jasmonoyl--L-amino acid synthetase JAR1 (EC 6.3.2.52) (Jasmonate-amino acid synthetase JAR1) (Jasmonic acid-amido synthetase JAR1) (Protein FAR-RED INSENSITIVE 219) (Protein JASMONATE RESISTANT 1)	JAR1 FIN219 At2g46370 F11C10.6	Arabidopsis thaliana (Mouse-ear cress)	575	AT2G46370;
Q9SKN5	reviewed	ARFJ_ARATH	Auxin response factor 10	ARF10 At2g28350 T1B3.13	Arabidopsis thaliana (Mouse-ear cress)	693	AT2G28350;
Q9SQH6	reviewed	PIN6_ARATH	Auxin efflux carrier component 6 (AtPIN6)	PIN6 At1g77110 F22K20.18	Arabidopsis thaliana (Mouse-ear cress)	570	AT1G77110;
Q9SRU2	reviewed	BIG_ARATH	Auxin transport protein BIG (Protein ATTENUATED SHADE AVOIDANCE 1) (Protein CORYMBOSA1) (Protein DARK OVER-EXPRESSION OF CAB 1) (Protein LOW PHOSPHATE-RESISTANT ROOT 1) (Protein TRANSPORT INHIBITOR RESPONSE 3) (Protein UMBRELLA 1)	BIG ASA1 CRM1 DOC1 GA6 LPR1 TIR3 UMB1 At3g02260 F14P3.9	Arabidopsis thaliana (Mouse-ear cress)	5098	AT3G02260;
Q9STT2	reviewed	VPS29_ARATH	Vacuolar protein sorting-associated protein 29 (Protein MAIGO 1) (Vesicle protein sorting 29)	VPS29 MAG1 At3g47810 T23J7.140	Arabidopsis thaliana (Mouse-ear cress)	190	AT3G47810;
Q9SUA3	reviewed	D6KL1_ARATH	Serine/threonine-protein kinase D6PKL1 (EC 2.7.11.1) (Serine/threonine-protein kinase AGC1-2)	D6PKL1 At4g26610 T15N24.60	Arabidopsis thaliana (Mouse-ear cress)	506	AT4G26610;
Q9SUR9	reviewed	SGT1A_ARATH	Protein SGT1 homolog A (AtSGT1a) (Suppressor of G2 allele of SKP1 homolog A)	SGT1A At4g23570 F9D16.40	Arabidopsis thaliana (Mouse-ear cress)	350	AT4G23570;
Q9SUT5	reviewed	SGT1B_ARATH	Protein SGT1 homolog B (AtSGT1b) (Protein ENHANCED DOWNY MILDEW 1) (Protein ENHANCER OF TIR1-1 AUXIN RESISTANCE 3) (Suppressor of G2 allele of SKP1 homolog B)	SGT1B EDM1 ETA3 RPR1 At4g11260 F8L21.50	Arabidopsis thaliana (Mouse-ear cress)	358	AT4G11260;
Q9SYF0	reviewed	GLIP2_ARATH	GDSL esterase/lipase 2 (EC 3.1.1.-) (Extracellular lipase 2)	GLIP2 At1g53940 F15I1.2	Arabidopsis thaliana (Mouse-ear cress)	376	AT1G53940;
Q9SYG2	reviewed	ASIL1_ARATH	Trihelix transcription factor ASIL1 (6B-interacting protein 1-like 1) (Trihelix DNA-binding protein ASIL1)	ASIL1 At1g54060 F15I1.14	Arabidopsis thaliana (Mouse-ear cress)	383	AT1G54060;
Q9SZ58	reviewed	BRAT1_ARATH	Brassinosteroid-related acyltransferase 1 (BR-related acyltransferase 1) (EC 2.3.1.-) (Protein DWARF AND ROUND LEAF 1) (Protein PIZZA)	BAT1 DRL1 PIZ At4g31910 F10N7.280 F11C18.110	Arabidopsis thaliana (Mouse-ear cress)	458	AT4G31910;
Q9SZI6	reviewed	GAT22_ARATH	Putative GATA transcription factor 22 (Protein CYTOKININ-RESPONSIVE GATA FACTOR 1) (Protein GNC-LIKE) (AtGNL)	GATA22 CGA1 GNL At4g26150 F20B18.260	Arabidopsis thaliana (Mouse-ear cress)	352	AT4G26150;
Q9XED8	reviewed	ARFI_ARATH	Auxin response factor 9	ARF9 At4g23980 T19F6.20 T32A16.150	Arabidopsis thaliana (Mouse-ear cress)	638	AT4G23980;
Q9XFM0	reviewed	IAA28_ARATH	Auxin-responsive protein IAA28 (Indoleacetic acid-induced protein 28)	IAA28 At5g25890 F18A17.6 T1N24.24	Arabidopsis thaliana (Mouse-ear cress)	175	AT5G25890;
Q9XGN1	reviewed	TTG1_ARATH	Protein TRANSPARENT TESTA GLABRA 1	TTG1 At5g24520 K18P6_4 T31K7.8	Arabidopsis thaliana (Mouse-ear cress)	341	AT5G24520;
Q9XGX0	reviewed	SHI_ARATH	Protein SHORT INTERNODES	SHI At5g66350	Arabidopsis thaliana (Mouse-ear cress)	331	AT5G66350;
Q9XI87	reviewed	VIK_ARATH	Serine/threonine-protein kinase VIK (EC 2.7.11.1) (VH1-interacting kinase)	VIK At1g14000 F16A14.22 F7A19.9	Arabidopsis thaliana (Mouse-ear cress)	438	AT1G14000;
Q9XIE2	reviewed	AB36G_ARATH	ABC transporter G family member 36 (ABC transporter ABCG.36) (AtABCG36) (Pleiotropic drug resistance protein 8) (AtPDR8) (Protein PENETRATION 3)	ABCG36 PDR8 PEN3 At1g59870 F23H11.19	Arabidopsis thaliana (Mouse-ear cress)	1469	AT1G59870;
Q9ZPS9	reviewed	BRL2_ARATH	Serine/threonine-protein kinase BRI1-like 2 (EC 2.7.11.1) (BRASSINOSTEROID INSENSITIVE 1-like protein 2) (Protein VASCULAR HIGHWAY 1)	BRL2 VH1 At2g01950 F14H20.2	Arabidopsis thaliana (Mouse-ear cress)	1143	AT2G01950;
Q9ZR12	reviewed	GRH1_ARATH	GRR1-like protein 1 (Protein AUXIN SIGNALING F-BOX 1)	GRH1 AFB1 FBL18 GER1 LRF1 At4g03190 F4C21.11	Arabidopsis thaliana (Mouse-ear cress)	585	AT4G03190;
Q9ZR72	reviewed	AB1B_ARATH	ABC transporter B family member 1 (ABC transporter ABCB.1) (AtABCB1) (Multidrug resistance protein 1) (P-glycoprotein 1) (AtPgp1)	ABCB1 MDR1 PGP1 At2g36910 T1J8.9	Arabidopsis thaliana (Mouse-ear cress)	1286	AT2G36910;
Q9ZSY8	reviewed	IAA27_ARATH	Auxin-responsive protein IAA27 (Auxin-induced protein 27) (Indoleacetic acid-induced protein 27) (Phytochrome-associated protein 2)	IAA27 PAP2 At4g29080 F19B15.110	Arabidopsis thaliana (Mouse-ear cress)	305	AT4G29080;
Q9ZTX8	reviewed	ARFF_ARATH	Auxin response factor 6	ARF6 At1g30330 T4K22.6	Arabidopsis thaliana (Mouse-ear cress)	935	AT1G30330;
A0A1P8BDV9	unreviewed	A0A1P8BDV9_ARATH	Auxin efflux carrier component	EIR1 AGR AGR1 AGRAVITROPIC ROOT AGRAVITROPIC ROOT 1 ATPIN2 AUXIN TRANSPORT PROTEIN EIR1 ETHYLENE INSENSITIVE ROOT 1 MM31 MUL3.3 MUL3_3 PIN-FORMED 2 PIN2 WAV6 WAVY ROOTS 6 At5g57090	Arabidopsis thaliana (Mouse-ear cress)	547	AT5G57090;
A8MQG7	reviewed	ASK20_ARATH	SKP1-like protein 20 (AtSK20)	ASK20 At2g45950 F4I18.7	Arabidopsis thaliana (Mouse-ear cress)	352	AT2G45950;
F4JF14	reviewed	ENOL1_ARATH	Protein ENHANCER OF LHP1 1	EOL1 At3g42660 T12K4_110	Arabidopsis thaliana (Mouse-ear cress)	953	AT3G42660;
F4K802	unreviewed	F4K802_ARATH	protein-serine/threonine phosphatase (EC 3.1.3.16)	CPL2 ATCPL2 At5g01270 F7J8.250 F7J8_250	Arabidopsis thaliana (Mouse-ear cress)	774	AT5G01270;
F4KGY6	reviewed	RVE1_ARATH	Protein REVEILLE 1	RVE1 At5g17300 MKP11.15	Arabidopsis thaliana (Mouse-ear cress)	387	AT5G17300;
O22150	reviewed	SAU36_ARATH	Auxin-responsive protein SAUR36 (Protein RESPONSE TO AUXINS AND GIBBERELLINS 1) (Protein SENESCENCE-ASSOCIATED GENE 201) (Protein SMALL AUXIN UP RNA 36)	SAUR36 RAG1 SAG201 At2g45210	Arabidopsis thaliana (Mouse-ear cress)	162	AT2G45210;
O22940	reviewed	TEEBE_ARATH	Protein TEEBE	TEB At2g41800 T11A7.10	Arabidopsis thaliana (Mouse-ear cress)	370	AT2G41800;
O65674	reviewed	ASK12_ARATH	SKP1-like protein 12 (AtSK12)	ASK12 At4g34470 T4L20.50	Arabidopsis thaliana (Mouse-ear cress)	152	AT4G34470;
O80341	reviewed	EF102_ARATH	Ethylene-responsive transcription factor 5 (AtERF5) (Ethylene-responsive element-binding factor 5) (EREBP-5)	ERF5 ERF-5 ERF102 At5g47230 MQL5_9	Arabidopsis thaliana (Mouse-ear cress)	300	AT5G47230;
O81057	reviewed	ASK14_ARATH	SKP1-like protein 14 (AtSK14)	ASK14 At2g03170 T18E12.16	Arabidopsis thaliana (Mouse-ear cress)	149	AT2G03170;
O81058	reviewed	ASK19_ARATH	SKP1-like protein 19 (AtSK19)	ASK19 At2g03160 T18E12.17	Arabidopsis thaliana (Mouse-ear cress)	200	AT2G03160;
P0DKH9	reviewed	AREP1_ARATH	Auxin-responsive endogenous peptide 1	AREP1 At1g01335 F6F3	Arabidopsis thaliana (Mouse-ear cress)	40	AT1G01335;
P48785	reviewed	PRH_ARATH	Pathogenesis-related homeodomain protein (PRHA)	PRH PRHA At4g29940 F27B13.180	Arabidopsis thaliana (Mouse-ear cress)	796	AT4G29940;
Q1PEL7	reviewed	ASK15_ARATH	SKP1-like protein 15 (AtSK15)	ASK15 At3g25650 T5M7.16	Arabidopsis thaliana (Mouse-ear cress)	177	AT3G25650;
Q29PU2	reviewed	SAU76_ARATH	Auxin-responsive protein SAUR76 (Protein SMALL AUXIN UP RNA 76)	SAUR76 At5g20820	Arabidopsis thaliana (Mouse-ear cress)	127	AT5G20820;
Q56ZI2	reviewed	PATL2_ARATH	Patellin-2	PATL2 At1g22530 F12K8.13	Arabidopsis thaliana (Mouse-ear cress)	683	AT1G22530;
Q6NMM4	reviewed	SAU26_ARATH	Auxin-responsive protein SAUR26 (Protein SMALL AUXIN UP RNA 26)	SAUR26 At3g03850 F20H23.11	Arabidopsis thaliana (Mouse-ear cress)	93	AT3G03850;
Q84TE6	reviewed	NAC22_ARATH	NAC domain-containing protein 21/22 (ANAC021/ANAC022)	NAC021 NAC022 NAC1 At1g56010 F14J16.32 T6H22.19	Arabidopsis thaliana (Mouse-ear cress)	324	AT1G56010;
Q8GWY0	reviewed	SCI1_ARATH	Style cell-cycle inhibitor 1 (AtSCI1)	SCI1 At1g79200 YUP8H12R.41	Arabidopsis thaliana (Mouse-ear cress)	159	AT1G79200;
Q8H1D2	reviewed	WOX5_ARATH	WUSCHEL-related homeobox 5	WOX5 At3g11260 F11B9.18	Arabidopsis thaliana (Mouse-ear cress)	182	AT3G11260;
Q8LF97	reviewed	ASK21_ARATH	SKP1-like protein 21 (AtSK21)	ASK21 At3g61415 F2A19.5	Arabidopsis thaliana (Mouse-ear cress)	351	AT3G61415;
Q8RWQ8	reviewed	FBX14_ARATH	F-box protein FBX14 (Transport inhibitor response 1-like protein) (TIR1-like protein)	FBX14 At4g24390 T22A6.220	Arabidopsis thaliana (Mouse-ear cress)	623	AT4G24390;
Q8W4K5	reviewed	VAB_ARATH	VAN3-binding protein (Protein FORKED 1)	VAB FKD1 At3g63300 F16M2_150	Arabidopsis thaliana (Mouse-ear cress)	498	AT3G63300;
Q93WC4	reviewed	IAA29_ARATH	Auxin-responsive protein IAA29 (Indoleacetic acid-induced protein 29)	IAA29 At4g32280 F10M6.80	Arabidopsis thaliana (Mouse-ear cress)	251	AT4G32280;
Q9C7Q8	reviewed	SAU62_ARATH	Auxin-responsive protein SAUR62 (Protein SMALL AUXIN UP RNA 62)	SAUR62 At1g29430 F15D2.2	Arabidopsis thaliana (Mouse-ear cress)	141	AT1G29430;
Q9C9K5	reviewed	PILS3_ARATH	Protein PIN-LIKES 3 (Auxin efflux carrier-like protein 3)	PILS3 At1g76520 F14G6.12	Arabidopsis thaliana (Mouse-ear cress)	390	AT1G76520;
Q9FI31	reviewed	XTH20_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 20 (At-XTH20) (XTH-20) (EC 2.4.1.207)	XTH20 At5g48070 MDN11.15	Arabidopsis thaliana (Mouse-ear cress)	282	AT5G48070;
Q9FJG1	reviewed	SAU19_ARATH	Auxin-responsive protein SAUR19 (Protein SMALL AUXIN UP RNA 19)	SAUR19 At5g18010 MCM23.9	Arabidopsis thaliana (Mouse-ear cress)	90	AT5G18010;
Q9LSQ4	reviewed	GH36_ARATH	Indole-3-acetic acid-amido synthetase GH3.6 (EC 6.3.2.-) (Auxin-responsive GH3-like protein 6) (AtGH3-6) (Protein DWARF IN LIGHT 1) (DFL-1)	GH3.6 DFL1 At5g54510 F24B18.13	Arabidopsis thaliana (Mouse-ear cress)	612	AT5G54510;
Q9LSX9	reviewed	ASK9_ARATH	SKP1-like protein 9 (AtSK9)	ASK9 At3g21850 MSD21.22	Arabidopsis thaliana (Mouse-ear cress)	153	AT3G21850;
Q9LVR0	reviewed	ATB53_ARATH	Homeobox-leucine zipper protein ATHB-53 (HD-ZIP protein ATHB-53) (Homeodomain transcription factor ATHB-53)	ATHB-53 HB-8 At5g66700 MSN2.9	Arabidopsis thaliana (Mouse-ear cress)	228	AT5G66700;
Q9LZJ7	reviewed	PRP3_ARATH	Proline-rich protein 3 (AtPRP3)	PRP3 At3g62680 F26K9.110	Arabidopsis thaliana (Mouse-ear cress)	313	AT3G62680;
Q9M1X4	reviewed	ASK5_ARATH	SKP1-like protein 5 (AtSK5)	ASK5 At3g60020 F24G16.290 T2O9.2	Arabidopsis thaliana (Mouse-ear cress)	153	AT3G60020;
Q9M2B0	reviewed	RBX1B_ARATH	RING-box protein 1b (At-Rbx1;2) (RBX1-1) (RBX1b-At)	RBX1B At3g42830 T21C14.50	Arabidopsis thaliana (Mouse-ear cress)	115	AT3G42830;
Q9SA49	reviewed	SAU41_ARATH	Auxin-responsive protein SAUR41 (Protein SMALL AUXIN UP RNA 41)	SAUR41 At1g16510 F3O9.31	Arabidopsis thaliana (Mouse-ear cress)	147	AT1G16510;
Q9SD85	reviewed	F3PH_ARATH	Flavonoid 3'-monooxygenase (EC 1.14.14.82) (Cytochrome P450 75B1) (Flavonoid 3'-hydroxylase) (AtF3'H) (Protein TRANSPARENT TESTA 7)	CYP75B1 F3'H TT7 At5g07990 F13G24.190	Arabidopsis thaliana (Mouse-ear cress)	513	AT5G07990;
Q9SDY5	reviewed	RCE1_ARATH	NEDD8-conjugating enzyme Ubc12 (EC 2.3.2.-) (RUB1 carrier protein 1) (RUB1-conjugating enzyme 1)	RCE1 At4g36800 C7A10.560	Arabidopsis thaliana (Mouse-ear cress)	184	AT4G36800;
Q9SL65	reviewed	ASK17_ARATH	SKP1-like protein 17 (AtSK17) (Protein MEIDOS)	ASK17 MEO At2g20160 T2G17.4	Arabidopsis thaliana (Mouse-ear cress)	150	AT2G20160;
Q9SL93	reviewed	ASK3_ARATH	SKP1-like protein 3 (AtSK3)	ASK3 At2g25700 F3N11.15	Arabidopsis thaliana (Mouse-ear cress)	163	AT2G25700;
Q9SRW0	reviewed	SAU28_ARATH	Auxin-responsive protein SAUR28 (Protein SMALL AUXIN UP RNA 28)	SAUR28 At3g03830 F20H23.15	Arabidopsis thaliana (Mouse-ear cress)	92	AT3G03830;
Q9SRW1	reviewed	SAU27_ARATH	Auxin-responsive protein SAUR27 (Protein SMALL AUXIN UP RNA 27)	SAUR27 At3g03840 F20H23.14	Arabidopsis thaliana (Mouse-ear cress)	95	AT3G03840;
Q9SY65	reviewed	ASK18_ARATH	SKP1-like protein 18 (AtSK18)	ASK18 At1g10230 F14N23.11	Arabidopsis thaliana (Mouse-ear cress)	158	AT1G10230;
Q9SZT9	reviewed	GH32_ARATH	Indole-3-acetic acid-amido synthetase GH3.2 (EC 6.3.2.-) (Auxin-responsive GH3-like protein 2) (AtGH3-2) (Protein YADOKARI 1)	GH3.2 BRU6 CF4 YDK1 At4g37390 F6G17.40	Arabidopsis thaliana (Mouse-ear cress)	549	AT4G37390;
Q9ZPY6	reviewed	ARFK_ARATH	Auxin response factor 11	ARF11 At2g46530 F11C10.34 F13A10.6	Arabidopsis thaliana (Mouse-ear cress)	622	AT2G46530;
Q9ZSP5	reviewed	AIR3_ARATH	Subtilisin-like protease SBT5.3 (EC 3.4.21.-) (Auxin-induced in root cultures protein 3) (Subtilase subfamily 5 member 3) (AtSBT5.3) (Subtilisin-like protease AIR3)	AIR3 SBT5.3 At2g04160 F3L12 T16B23	Arabidopsis thaliana (Mouse-ear cress)	772	AT2G04160;
Q9ZTX9	reviewed	ARFD_ARATH	Auxin response factor 4	ARF4 At5g60450 MUF9.8	Arabidopsis thaliana (Mouse-ear cress)	788	AT5G60450;
Q9ZUZ3	reviewed	SAU32_ARATH	Auxin-responsive protein SAUR32 (Protein ABOLISHED APICAL HOOK MAINTENANCE 1) (Protein SMALL AUXIN UP RNA 32)	SAUR32 AAM1 At2g46690	Arabidopsis thaliana (Mouse-ear cress)	121	AT2G46690;
Q9ZVH0	reviewed	FEZ_ARATH	Protein FEZ (NAC domain-containing protein 9) (ANAC009)	FEZ NAC009 At1g26870 T2P11.6	Arabidopsis thaliana (Mouse-ear cress)	418	AT1G26870;
A0A1P8AY30	unreviewed	A0A1P8AY30_ARATH	Auxin efflux carrier component	PIN4 ARABIDOPSIS PIN-FORMED 4 ATPIN4 PIN-FORMED 4 At2g01420 F10A8.27	Arabidopsis thaliana (Mouse-ear cress)	519	AT2G01420;
A8MQX0	unreviewed	A8MQX0_ARATH	Auxin efflux carrier component	PIN7 ARABIDOPSIS PIN-FORMED 7 ATPIN7 PIN-FORMED 7 At1g23080 T26J12.14 T26J12_14	Arabidopsis thaliana (Mouse-ear cress)	615	AT1G23080;
F4HWB6	reviewed	PILS1_ARATH	Protein PIN-LIKES 1 (Auxin efflux carrier-like protein 1)	PILS1 At1g20925 F9H16.9	Arabidopsis thaliana (Mouse-ear cress)	472	AT1G20925;
F4I1H5	reviewed	SAU63_ARATH	Auxin-responsive protein SAUR63 (Protein SMALL AUXIN UP RNA 63)	SAUR63 At1g29440 F15D2.3	Arabidopsis thaliana (Mouse-ear cress)	141	AT1G29440;
F4I214	reviewed	TET10_ARATH	Tetraspanin-10	TET10 At1g63260 F9N12.12	Arabidopsis thaliana (Mouse-ear cress)	284	AT1G63260;
F4IKE6	unreviewed	F4IKE6_ARATH	Auxin-responsive protein	IAA8 At2g22670 T9I22.11 T9I22_11	Arabidopsis thaliana (Mouse-ear cress)	338	AT2G22670;
F4JRC5	reviewed	PIP2_ARATH	PAMP-induced secreted peptide 2	PIP2 At4g37290 C7A10.70	Arabidopsis thaliana (Mouse-ear cress)	84	AT4G37290;
F4K0D0	unreviewed	F4K0D0_ARATH	NAD(P)H dehydrogenase (quinone) (EC 1.6.5.2)	FQR1 At5g54500 F24B18.12 F24B18_12	Arabidopsis thaliana (Mouse-ear cress)	244	AT5G54500;
F4K536	unreviewed	F4K536_ARATH	Auxin response factor	ARF2 ARF1-BINDING PROTEIN ARF1-BP AtARF2 auxin response factor 2 HLS1 SUPPRESSOR HSS MTG10.1 MTG10_1 ORE14 ORESARA 14 At5g62000 At5g62010	Arabidopsis thaliana (Mouse-ear cress)	853	AT5G62000;
F4K5K0	unreviewed	F4K5K0_ARATH	RING-box 1	RBX1 ATRBX1 HRT1 REGULATOR OF CULLINS-1 RING-BOX 1 RING-box 1 ROC1 At5g20570 F7C8.160 F7C8_160	Arabidopsis thaliana (Mouse-ear cress)	142	AT5G20570;
F4K5M5	unreviewed	F4K5M5_ARATH	Auxin response factor	NPH4 ARF7 AUXIN RESPONSE FACTOR 7 BIP BIPOSTO IAA21 IAA23 IAA25 MASSUGU 1 MSG1 NON-PHOTOTROPHIC HYPOCOTYL TIR5 TRANSPORT INHIBITOR RESPONSE 5 At5g20730 T1M15.130 T1M15_130	Arabidopsis thaliana (Mouse-ear cress)	1150	AT5G20730;
F4KH89	reviewed	SRS8_ARATH	Protein SHI RELATED SEQUENCE 8	SRS8 At5g33210	Arabidopsis thaliana (Mouse-ear cress)	173	AT5G33210;
O22900	reviewed	WRK23_ARATH	WRKY transcription factor 23 (WRKY DNA-binding protein 23)	WRKY23 At2g47260 T8I13.10	Arabidopsis thaliana (Mouse-ear cress)	337	AT2G47260;
O23208	reviewed	ATB40_ARATH	Homeobox-leucine zipper protein ATHB-40 (HD-ZIP protein ATHB-40) (Homeodomain transcription factor ATHB-40)	ATHB-40 At4g36740 C7A10.620	Arabidopsis thaliana (Mouse-ear cress)	216	AT4G36740;
O49697	reviewed	NAC71_ARATH	NAC domain-containing protein 71 (ANAC071)	NAC071 At4g17980	Arabidopsis thaliana (Mouse-ear cress)	262	AT4G17980;
O64538	reviewed	SAU40_ARATH	Auxin-responsive protein SAUR40 (Protein SMALL AUXIN UP RNA 40)	SAUR40 At1g79130 YUP8H12R.25	Arabidopsis thaliana (Mouse-ear cress)	134	AT1G79130;
O65648	reviewed	SAUR9_ARATH	Protein SMALL AUXIN UP-REGULATED RNA 9	SAUR9 At4g36110 T19K4.240	Arabidopsis thaliana (Mouse-ear cress)	104	AT4G36110;
O65695	reviewed	SAU50_ARATH	Auxin-responsive protein SAUR50 (Protein SMALL AUXIN UP-REGULATED RNA 50)	SAUR50 At4g34760 T4L20.340	Arabidopsis thaliana (Mouse-ear cress)	107	AT4G34760;
O81055	reviewed	ASK16_ARATH	SKP1-like protein 16 (AtSK16)	ASK16 At2g03190 T18E12.14	Arabidopsis thaliana (Mouse-ear cress)	170	AT2G03190;
O81829	reviewed	GH35_ARATH	Indole-3-acetic acid-amido synthetase GH3.5 (EC 6.3.2.-) (Auxin-responsive GH3-like protein 5) (AtGH3-5)	GH3.5 At4g27260 M4I22.70	Arabidopsis thaliana (Mouse-ear cress)	612	AT4G27260;
O81831	reviewed	CARP1_ARATH	Calcium-binding protein KRP1 (KIC-related protein 1)	KRP1 At4g27280 M4I22.90	Arabidopsis thaliana (Mouse-ear cress)	130	AT4G27280;
P38025	reviewed	PUR7_ARATH	Phosphoribosylaminoimidazole-succinocarboxamide synthase, chloroplastic (EC 6.3.2.6) (SAICAR synthetase)	PUR7 At3g21110 MSA6.15 MSA6.26	Arabidopsis thaliana (Mouse-ear cress)	411	AT3G21110;
Q1PEF6	reviewed	ASK6_ARATH	SKP1-like protein 6 (AtSK6)	ASK6 At3g53060 F8J2.230	Arabidopsis thaliana (Mouse-ear cress)	85	AT3G53060;
Q8LAT0	reviewed	ATB20_ARATH	Homeobox-leucine zipper protein ATHB-20 (HD-ZIP protein ATHB-20) (Homeodomain transcription factor ATHB-20)	ATHB-20 At3g01220 T4P13.9	Arabidopsis thaliana (Mouse-ear cress)	286	AT3G01220;
Q8S8Q6	reviewed	TET8_ARATH	Tetraspanin-8	TET8 At2g23810 F27L4.1	Arabidopsis thaliana (Mouse-ear cress)	273	AT2G23810;
Q94BT2	reviewed	AIR12_ARATH	Auxin-induced in root cultures protein 12	AIR12 At3g07390 F21O3_10	Arabidopsis thaliana (Mouse-ear cress)	252	AT3G07390;
Q94C59	reviewed	PATL4_ARATH	Patellin-4	PATL4 At1g30690 T5I8.14	Arabidopsis thaliana (Mouse-ear cress)	540	AT1G30690;
Q9C7C1	reviewed	TET6_ARATH	Tetraspanin-6	TET6 At3g12090 T21B14.9	Arabidopsis thaliana (Mouse-ear cress)	282	AT3G12090;
Q9C7I9	reviewed	ARFT_ARATH	Auxin response factor 20	ARF20 At1g35240 T9I1.3	Arabidopsis thaliana (Mouse-ear cress)	590	AT1G35240;
Q9C8N7	reviewed	ARFV_ARATH	Auxin response factor 22	ARF22 At1g34390 F7P12.6	Arabidopsis thaliana (Mouse-ear cress)	598	AT1G34390;
Q9C8N9	reviewed	ARFU_ARATH	Putative auxin response factor 21	ARF21 At1g34410 F12K21.26 F7P12.12	Arabidopsis thaliana (Mouse-ear cress)	606	AT1G34410;
Q9C966	reviewed	IAA15_ARATH	Auxin-responsive protein IAA15 (Indoleacetic acid-induced protein 15)	IAA15 At1g80390 F5I6.14	Arabidopsis thaliana (Mouse-ear cress)	179	AT1G80390;
Q9C9K4	reviewed	PILS4_ARATH	Protein PIN-LIKES 4 (Auxin efflux carrier-like protein 4)	PILS4 At1g76530 F14G6.13	Arabidopsis thaliana (Mouse-ear cress)	415	AT1G76530;
Q9CA25	reviewed	LAX3_ARATH	Auxin transporter-like protein 3 (AUX1-like protein 3)	LAX3 At1g77690 T32E8.2	Arabidopsis thaliana (Mouse-ear cress)	470	AT1G77690;
Q9FKY4	reviewed	PILS7_ARATH	Protein PIN-LIKES 7 (Auxin efflux carrier-like protein 7)	PILS7 At5g65980 K2A18.4	Arabidopsis thaliana (Mouse-ear cress)	395	AT5G65980;
Q9FX25	reviewed	ARFM_ARATH	Auxin response factor 13	ARF13 At1g34170 F12G12.1 F23M19.15	Arabidopsis thaliana (Mouse-ear cress)	621	AT1G34170;
Q9FZ87	reviewed	GH317_ARATH	Indole-3-acetic acid-amido synthetase GH3.17 (EC 6.3.2.-) (Auxin-responsive GH3-like protein 17) (AtGH3-17)	GH3.17 At1g28130 F13K9.22 F3H9.21 F3H9_19	Arabidopsis thaliana (Mouse-ear cress)	609	AT1G28130;
Q9LFB2	reviewed	LAX1_ARATH	Auxin transporter-like protein 1 (AUX1-like protein 1)	LAX1 At5g01240 F7J8_220	Arabidopsis thaliana (Mouse-ear cress)	488	AT5G01240;
Q9LP07	reviewed	ARFW_ARATH	Putative auxin response factor 23	ARF23 At1g43950 F9C16.11	Arabidopsis thaliana (Mouse-ear cress)	222	AT1G43950;
Q9LQE3	reviewed	ARFO_ARATH	Putative auxin response factor 15	ARF15 At1g35520 F15O4.42	Arabidopsis thaliana (Mouse-ear cress)	593	AT1G35520;
Q9LQE8	reviewed	ARFN_ARATH	Putative auxin response factor 14	ARF14 At1g35540 F15O4.37	Arabidopsis thaliana (Mouse-ear cress)	605	AT1G35540;
Q9LSQ6	reviewed	PBP1_ARATH	Calcium-binding protein PBP1 (KIC-related protein 2) (PINOID-binding protein 1)	PBP1 KRP2 At5g54490 F24B18.11	Arabidopsis thaliana (Mouse-ear cress)	127	AT5G54490;
